P_sem,P_bra,A_pat,N_ber,S_ocu,P_pag,C_cal,O_smi,S_col,D_arg,Paral_patac,G_gal,D_aur,Riqueza,Abundancia,Metodo,Habitat,Site,Waypoint,Point
0,9,1,3,0,49,0,0,0,4,0,0,0,5,66,BRUVS,Reef,Puerto_lobos,1487,1
0,28,5,0,0,20,0,0,0,51,0,0,0,4,104,UVC,Reef,Puerto_lobos,1487,1
1,18,0,2,1,19,0,0,0,1,0,0,0,6,42,BRUVS,Soft-bottom,Puerto_lobos,1488,1
0,8,0,0,0,50,0,0,0,0,0,0,0,2,58,UVC,Soft-bottom,Puerto_lobos,1488,1
0,7,0,1,0,21,0,0,0,0,0,0,0,3,29,BRUVS,Reef,Puerto_lobos,1489,2
0,13,6,2,0,0,0,0,0,105,0,0,0,4,126,UVC,Reef,Puerto_lobos,1489,2
1,21,0,0,0,35,0,0,0,0,0,0,0,3,57,BRUVS,Soft-bottom,Puerto_lobos,1490,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,Puerto_lobos,1490,2
2,4,18,44,0,0,0,0,0,0,0,0,0,4,68,BRUVS,Reef,G_Nuevo,1500,3
5,12,88,60,14,0,0,0,0,0,0,0,0,5,179,UVC,Reef,G_Nuevo,1500,3
2,1,2,95,0,3,0,0,0,0,0,0,0,5,103,BRUVS,Soft-bottom,G_Nuevo,1503,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1503,3
1,15,14,24,1,0,0,0,0,0,0,0,0,5,55,BRUVS,Reef,G_Nuevo,1502,4
0,2,16,0,5,0,0,0,0,0,0,0,0,3,23,UVC,Reef,G_Nuevo,1502,4
0,2,0,43,0,0,0,0,0,0,0,0,0,2,45,BRUVS,Soft-bottom,G_Nuevo,1505,4
0,10,0,0,0,0,0,0,0,0,0,0,0,1,10,UVC,Soft-bottom,G_Nuevo,1505,4
3,3,19,21,1,0,0,0,0,0,0,0,0,5,47,BRUVS,Reef,G_Nuevo,1504,5
4,23,27,30,9,0,0,0,0,0,0,0,0,5,93,UVC,Reef,G_Nuevo,1504,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRUVS,Soft-bottom,G_Nuevo,1506,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1506,5
0,1,1,0,1,6,0,0,0,0,0,0,0,4,9,BRUVS,Reef,G_Nuevo,1851,6
0,10,4,0,5,0,0,0,0,0,0,0,0,3,19,UVC,Reef,G_Nuevo,1851,6
0,1,0,0,0,0,1,5,0,0,0,0,0,3,7,BRUVS,Soft-bottom,G_Nuevo,1853,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UVC,Soft-bottom,G_Nuevo,1853,6
